id,label,timeset,componentnumber,modularity_class,eccentricity,betweenesscentrality,harmonicclosnesscentrality,closnesscentrality,eigencentrality,pageranks
I_Gottesman,I_Gottesman,,0,27,9.0,0.0,0.19976316452506965,0.18410286382232613,0.04114899111937091,0.0012492906350954555
Julius_Pfeiffer,Julius_Pfeiffer,,0,27,8.0,0.0,0.24106953892668218,0.21590130226182316,0.15562661834649555,0.0020107487171546912
Martin_Guggenheim,Martin_Guggenheim,,0,27,9.0,1.280952694834443E-4,0.20187956664147175,0.18431831480397892,0.06465129524900418,0.002133479386466388
K_Arnfeld,K_Arnfeld,,0,27,9.0,0.0,0.19976316452506965,0.18410286382232613,0.04114899111937091,0.0012492906350954555
Victor_Bloch,Victor_Bloch,,0,17,9.0,0.018319357295622504,0.2631985386747296,0.22661870503597123,0.27577396416521655,0.0059831057124083075
George_Borchard,George_Borchard,,0,17,9.0,0.0059305457907342695,0.25328168304358833,0.22151898734177214,0.23472985878861932,0.002596448049959262
Terry_Frisch,Terry_Frisch,,0,17,10.0,0.0,0.20263668430335133,0.18485915492957747,0.05034505398977793,0.0011388350889462023
Fred_Haither,Fred_Haither,,0,17,10.0,0.0,0.20263668430335133,0.18485915492957747,0.05034505398977793,0.0011388350889462023
John_H_Blueth,John_H_Blueth,,0,28,8.0,0.08005764219530231,0.31343537414965955,0.25547445255474455,0.8277985926332463,0.014465261929543055
Hans_Adam,Hans_Adam,,0,28,8.0,0.010211838828399508,0.2440967498110362,0.21240728253540123,0.243318845619132,0.002886027115204428
William_Bayreuther,William_Bayreuther,,0,28,9.0,0.0,0.22805114638448037,0.20361990950226244,0.13845827866830718,0.0011355741169953842
Charles_Baer,Charles_Baer,,0,28,9.0,0.0,0.22805114638448037,0.20361990950226244,0.13845827866830718,0.0011355741169953842
Arthur_Bloch,Arthur_Bloch,,0,28,9.0,0.0,0.22805114638448037,0.20361990950226244,0.13845827866830718,0.0011355741169953842
Eric_Dahl,Eric_Dahl,,0,28,9.0,0.0,0.22805114638448037,0.20361990950226244,0.13845827866830718,0.0011355741169953842
Walter_H_Klinkhoff,Walter_H_Klinkhoff,,0,19,7.0,0.009849770874993218,0.274308390022676,0.24881516587677724,0.25421982382985225,0.0018074640791375847
Peter_J_Kunstler,Peter_J_Kunstler,,0,28,8.0,0.03577762169855658,0.27246787603930483,0.22120786516853932,0.5162096626867947,0.012213359020044714
Max_Stern,Max_Stern,,0,17,7.0,0.04402521664136021,0.3055102040816327,0.2696917808219178,0.4934916037304047,0.003971522933346884
Hans_Zadek,Hans_Zadek,,0,27,8.0,0.0,0.25150037792894975,0.22120786516853932,0.25293590589543186,0.0018970321990546197
Walter_Marczak,Walter_Marczak,,0,29,8.0,0.004840521755688847,0.26068405139833767,0.2226148409893993,0.30754785022237385,0.002047344741576977
Walter_Bluger,Walter_Bluger,,0,52,7.0,0.07181893608628821,0.2757671957671962,0.22167487684729065,0.4603538674968935,0.023905190383125906
Eddie_Smarac,Eddie_Smarac,,0,52,8.0,0.0,0.2037868480725622,0.18155619596541786,0.09054691950317166,0.0013801386219083884
Fred_Silzer,Fred_Silzer,,0,52,8.0,0.0,0.2037868480725622,0.18155619596541786,0.09054691950317166,0.0013801386219083884
Kurt_Eisenhammer,Kurt_Eisenhammer,,0,52,8.0,0.0,0.2037868480725622,0.18155619596541786,0.09054691950317166,0.0013801386219083884
William_Antmann,William_Antmann,,0,52,8.0,0.0,0.2037868480725622,0.18155619596541786,0.09054691950317166,0.0013801386219083884
Richard_Hoff,Richard_Hoff,,0,52,7.0,0.037229867189329253,0.27210128495842784,0.23863636363636365,0.251072912481108,0.003900256258354294
Hans_Eckers,Hans_Eckers,,0,52,8.0,0.0,0.2037868480725622,0.18155619596541786,0.09054691950317166,0.0013801386219083884
Ernest_Guter,Ernest_Guter,,0,52,8.0,0.0,0.2037868480725622,0.18155619596541786,0.09054691950317166,0.0013801386219083884
H_Nathan,H_Nathan,,0,26,7.0,0.013959584384737626,0.26183673469387764,0.23454951600893523,0.1903764308094798,0.002138362337800428
Shiftan,Shiftan,,0,52,8.0,0.0,0.2037868480725622,0.18155619596541786,0.09054691950317166,0.0013801386219083884
Heinz_Wilczyk,Heinz_Wilczyk,,0,52,8.0,0.0,0.2037868480725622,0.18155619596541786,0.09054691950317166,0.0013801386219083884
Henry_Heinzmann,Henry_Heinzmann,,0,52,8.0,0.0,0.2037868480725622,0.18155619596541786,0.09054691950317166,0.0013801386219083884
Frohmann,Frohmann,,0,52,8.0,0.0,0.2037868480725622,0.18155619596541786,0.09054691950317166,0.0013801386219083884
Perles,Perles,,0,52,8.0,0.0,0.2037868480725622,0.18155619596541786,0.09054691950317166,0.0013801386219083884
A_J_Frost,A_J_Frost,,0,27,8.0,0.019515507343270837,0.256844293272865,0.2237215909090909,0.20502454673029633,0.002141596703967624
